Player_ID,MP,Starts,Min,Min/90,Goals,Shots,SoT,SoT%
2037,18,11,1017,11.3,1,1.5,0.53,35.3
2038,18,15,1236,13.7,2,0.88,0.51,58.3
2039,2,2,175,1.9,0,0,0,0
2040,1,1,47,0.5,0,0,0,0
2041,11,5,477,5.3,1,2.45,0.94,38.5
2042,2,0,47,0.5,0,0,0,0
2043,19,11,959,10.7,4,3.64,1.03,28.2
2044,7,0,71,0.8,0,1.25,0,0
2045,20,15,1286,14.3,2,1.4,0.56,40
2046,22,20,1795,19.9,11,3.02,1.31,43.3
2047,14,7,572,6.4,1,3.91,1.88,48
2048,1,0,45,0.5,0,0,0,0
2049,17,16,1147,12.7,4,1.34,0.71,52.9
2050,19,14,1183,13.1,0,0.69,0.15,22.2
2051,18,11,1011,11.2,0,1.25,0.09,7.1
2052,22,22,1980,22,0,0,0,0
2053,23,23,2067,23,1,0.13,0.09,66.7
2054,13,5,514,5.7,3,3.16,1.58,50
2055,18,16,1340,14.9,1,0.74,0.27,36.4
2056,1,0,1,0,0,0,0,0
2057,22,22,1815,20.2,2,0.79,0.2,25
2058,4,0,87,1,0,0,0,0
2059,22,22,1817,20.2,4,1.24,0.45,36
2060,5,5,450,5,0,0,0,0
2061,1,0,23,0.3,0,0,0,0
2062,14,1,336,3.7,0,2.7,1.89,70
2063,7,3,313,3.5,1,1.14,0.57,50
2064,1,0,3,0,0,0,0,0
2065,10,9,664,7.4,1,0.68,0.14,20
2066,20,20,1800,20,0,0,0,0
2067,2,1,122,1.4,0,0.71,0,0
2068,12,9,779,8.7,2,2.07,0.46,22.2
2069,1,0,1,0,0,0,0,0
2070,19,19,1603,17.8,0,0.51,0.17,33.3
2071,14,4,503,5.6,5,2.68,1.07,40
2072,1,0,2,0,0,0,0,0
2073,14,6,381,4.2,0,1.9,0.24,12.5
2074,8,4,454,5,1,0.4,0.2,50
2075,1,0,37,0.4,0,0,0,0
2076,15,13,1197,13.3,1,0.83,0.3,36.4
2077,22,22,1980,22,1,1.14,0.18,16
