Player_ID,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen
325,32.8,0.4,2.8,12.4,18.8,5.2
326,49.5,0,5.5,24,21.5,4
327,65.1,2.33,17.6,35.5,13,1.28
328,45,1.25,16.3,15,13.8,0
329,66,0.11,4.62,32,30.6,4.09
330,18.8,8.75,16.3,2.5,0,0
331,40.4,31.4,39.9,0.59,0,0
332,88,5,21,40,27,1
333,56.1,3.46,15.9,29.8,11.4,0.43
334,67.4,1.16,6.35,31.3,30.2,2.7
335,47,0.5,12.5,21,14,3
336,36.8,0.59,4.84,12.9,19.3,4.25
337,41.6,1.93,3.56,21.8,17.3,3.63
338,35,0,11.3,10,15,2.5
339,53.2,2.07,13.5,23.4,17,0.9
340,52.2,0.2,5,21,26.8,3.4
341,26.1,0.38,2.5,9.7,14.2,2.88
342,57.1,7.88,31.6,23.4,2.38,0.5
343,61.4,0.24,5.9,24.8,31.8,3.13
344,42.9,1.08,6.87,22.5,13.9,2.17
345,59.2,5.98,25.5,26.7,7.66,0.54
346,34.7,27.3,34.3,0.33,0,0
347,44,29,44,0,0,0
348,56.3,3.16,10.5,18.4,27.4,0.53
349,115,0,15,40,60,5
350,56,0,7,34.3,16,1
351,69.8,11.2,40.8,26.5,2.74,1.6
352,33.3,0.61,2.12,12.4,19.1,4.85
353,64.7,5.68,29.2,32.8,2.88,0.58
354,77.7,10.3,38,39.7,0.67,0.33
355,65,0,0,25,40,20
356,79.6,3.94,20.8,48.5,11,0.7
357,55.6,4.11,21.1,24.8,10.1,0.38
358,76.7,3.33,26.7,40,10,0
359,33.3,0.3,2.42,15.2,16.4,4.85
360,41.1,1.42,8.85,16,16.5,1.06
361,50,0.63,8.13,18.8,23.1,1.25
362,63.3,2,10.7,17.3,35.3,4
363,63.3,2.22,15,29.4,20,2.78
364,64,4.67,20.3,25.7,18.7,2.33
365,28.8,1.15,2.08,12.2,14.9,5.73
366,54.5,1.1,8.01,25.5,21.4,3.46
367,57.1,3.96,24.4,15.9,17.2,1.15
368,66,5.43,31.2,33.4,1.76,0.6
369,37.1,0,0,21.4,15.7,7.14
370,39.6,0.66,4.94,15.2,20.1,4.76
371,63.3,0.86,6.03,24.1,34,5
372,40,0,5,10,30,0
373,58.5,4.97,24.3,30.9,3.69,1.15
374,33.9,0.43,1.3,10.9,22.2,3.91
375,30.5,0.34,3.22,11,16.8,6.27
376,39.7,0,1.33,13.7,24.7,4.67
377,60.5,5.29,24.7,26.1,10,1.75
378,56.5,3.53,15.3,27.1,14.9,1.18
379,81.3,2.48,15.6,54.5,11.9,0.69
380,58,2,16,27.6,16,1.6
381,35,32,35,0,0,0
382,44.7,0.31,5,13.1,27.2,7.5
383,58.3,11.7,25,30,6.67,0
384,77,0.75,6.84,35.5,35.4,4.96
385,75.8,2.28,15.4,28.4,33.9,3.33
386,54.6,7.21,25.4,26.6,2.9,1.37
387,87,4,23.3,40.3,24.3,2.33
388,63.6,4.24,23,33.1,8.31,0.68
389,30,10,20,10,0,0
390,71.2,2.76,16.1,40.3,15.8,0.83
391,89.6,0.38,13.7,42.3,35.4,3.46
392,59.1,3.16,16.4,30.8,12.5,1.89
393,39.3,8.67,24.7,14,0.67,0.67
394,77.1,3.78,24.4,38.4,15.3,0.81
